chan1,chan4,math
7.999273e-02,7.999982e-02,-8.959996e+01
-8.000727e-02,-4.000018e-02,-6.359986e+01
-8.000727e-02,-4.000018e-02,-6.959988e+01
7.999273e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-6.679987e+01
2.959992e+00,3.039998e+00,-8.359994e+01
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-6.479987e+01
3.039992e+00,2.959998e+00,-6.359986e+01
2.879992e+00,3.079998e+00,-6.479987e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-7.759991e+01
2.879992e+00,2.959998e+00,-6.559987e+01
3.039992e+00,3.079998e+00,-6.879988e+01
-7.271767e-06,7.999982e-02,-6.959988e+01
7.999273e-02,-4.000018e-02,-6.359986e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
-8.000727e-02,-4.000018e-02,-7.959992e+01
7.999273e-02,7.999982e-02,-6.879988e+01
7.999273e-02,7.999982e-02,-6.879988e+01
-8.000727e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,-4.000018e-02,-6.679987e+01
7.999273e-02,7.999982e-02,-7.759991e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
2.959992e+00,3.039998e+00,-7.159989e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-7.079989e+01
3.039992e+00,2.959998e+00,-7.879992e+01
2.879992e+00,3.079998e+00,-6.959988e+01
3.039992e+00,3.079998e+00,-7.159989e+01
2.879992e+00,2.959998e+00,-6.959988e+01
3.039992e+00,2.999998e+00,-7.159989e+01
2.879992e+00,3.079998e+00,-8.959996e+01
3.039992e+00,3.079998e+00,-6.879988e+01
-7.271767e-06,-1.788139e-07,-7.879992e+01
7.999273e-02,-4.000018e-02,-7.079989e+01
-8.000727e-02,7.999982e-02,-7.359990e+01
-8.000727e-02,7.999982e-02,-7.679991e+01
7.999273e-02,-4.000018e-02,-7.079989e+01
7.999273e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-7.359990e+01
7.999273e-02,7.999982e-02,-7.279990e+01
-8.000727e-02,-4.000018e-02,-7.079989e+01
2.959992e+00,3.039998e+00,-7.679991e+01
3.039992e+00,2.999998e+00,-7.159989e+01
2.879992e+00,3.079998e+00,-7.479990e+01
3.039992e+00,2.959998e+00,-7.359990e+01
2.879992e+00,3.079998e+00,-7.359990e+01
3.039992e+00,2.959998e+00,-8.479994e+01
2.879992e+00,3.079998e+00,-7.279990e+01
3.039992e+00,3.079998e+00,-7.559991e+01
2.879992e+00,2.959998e+00,-7.759991e+01
3.039992e+00,3.079998e+00,-6.959988e+01
-7.271767e-06,-1.788139e-07,-7.559991e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-7.359990e+01
7.999273e-02,7.999982e-02,-7.159989e+01
